Query,Label
Huawei P60 Pro battery life,No
Does Samsung Galaxy A55 5G come with a charger in the box?,Yes
Samsung Galaxy Z Flip6 specs,Yes
Is Nokia X30 worth buying in 2025?,No
Nokia X30 battery life,No
Sony Xperia 1 V price in India,No
Compare Samsung Galaxy R90 with its previous model.,No
Samsung Ultra 99 5G support,No
What is the battery life of Oppo Find X6?,No
Is the Samsung Note X5 good for gaming?,No
Samsung Z10 Flip release date,No
Compare iPhone 15 Pro with its previous model.,No
Xiaomi 13 Ultra 5G support,No
Does Samsung Galaxy M35 5G support 5G connectivity?,Yes
Samsung A100 Pro specs,No
Samsung Note X5 vs Google Pixel 8,No
Show me Vivo X90 Pro under 50k.,No
What is the processor used in Samsung J20?,No
Does OnePlus 12 support fast charging?,No
Samsung Galaxy S25 Ultra vs Google Pixel 8,Yes
Samsung Galaxy F06 5G user reviews,Yes
Oppo Find X6 5G support,No
Samsung J20 price in India,No
OnePlus 12 release date,No
Is Xiaomi 13 Ultra waterproof?,No
Samsung Galaxy S99 Ultra battery life,No
How much RAM does Sony Xperia 1 V have?,No
Does Samsung Galaxy A35 5G support 5G connectivity?,Yes
What is the battery life of Google Pixel 8?,No
Is the camera of Samsung Galaxy S25 better than OnePlus 12?,Yes
Compare Samsung A100 Pro with iPhone 15 Pro.,No
Which color options are available for Samsung Ultra 99?,No
Samsung Galaxy A55 5G vs Samsung Galaxy S24,Yes
How much RAM does Huawei P60 Pro have?,No
Samsung Galaxy Z Fold6 user reviews,Yes
Google Pixel 8 performance review,No
Is the camera of Samsung Galaxy Mega 9 better than OnePlus 12?,No
Samsung Galaxy Mega 9 release date,No
Is Samsung Galaxy Z Flip6 waterproof?,Yes
Samsung Galaxy M35 5G battery life,Yes
iPhone 15 Pro battery life,No
Is the camera of Samsung Galaxy Fold X better than OnePlus 12?,No
Does Samsung Z10 Flip support fast charging?,No
Compare Samsung Galaxy S99 Ultra with iPhone 15 Pro.,No
Samsung Galaxy F55 5G vs Google Pixel 8,Yes
Is Samsung Galaxy S25 Ultra worth buying in 2025?,Yes
Vivo X90 Pro battery life,No
Samsung Galaxy R90 battery life,No
Realme GT Neo 5G support,No
Is Samsung Galaxy SX waterproof?,No
Show me Samsung Galaxy F55 5G under 50k.,Yes
Samsung Galaxy A35 5G best deals,Yes
Samsung Galaxy M55 5G price in India,Yes
Samsung Galaxy Fold X specs,No
Does Samsung Galaxy F06 5G have a good display for watching movies?,Yes
Which color options are available for Samsung Galaxy Z Fold6?,Yes
Samsung Galaxy SX battery life,No
What is the battery life of Samsung Galaxy M55 5G?,Yes
Is Realme GT Neo worth buying in 2025?,No
Samsung Galaxy S25 price in India,Yes
Realme GT Neo,No
s25,Yes
z fold6,Yes
a55,Yes
Samsung Galaxy F55 5G,Yes
iPhone 15 Pro,No
f06,Yes
Samsung Galaxy S25,Yes
s25 ultra,Yes
s25,Yes
realme,No
m35,Yes
huawei,No
samsung,No
a35,Yes
samsung,No
iPhone 15 Pro,No
samsung,No
s25 ultra,Yes
Samsung Galaxy S25 Ultra,Yes
s25 ultra,Yes
s25 ultra,Yes
s25 ultra,Yes
Samsung Ultra 99,No
m35,Yes
Samsung Galaxy Z Flip6,Yes
Samsung Galaxy S25 Ultra,Yes
OnePlus 12,No
Samsung Galaxy M35 5G,Yes
Realme GT Neo,No
Huawei P60 Pro,No
Samsung Galaxy S25,Yes
xiaomi,No
Samsung Galaxy S99 Ultra,No
a55,Yes
Samsung Galaxy M35 5G,Yes
Samsung Galaxy S25 Ultra,Yes
iPhone 15 Pro,No
s25,Yes
